split,file_name,question,answer,receipt_currency,question_category,operations
dev,X51006913061,How many zero prices are among the menu?,0.0,Malaysian ringgit,count,counting
dev,X51006913061,What is the average price in the first 2 positions?,4.6,Malaysian ringgit,amount,counting;division;sorting;summation
dev,X51006913061,What is the quantity of products in the 2nd position?,1.0,Malaysian ringgit,count,sorting
dev,X51006913061,How much cash was received?,9.2,Malaysian ringgit,amount,-
dev,X51006913061,What is net total and total amount ratio?,1.0,Malaysian ringgit,ratio,division
dev,X51007103610,How much should be paid for 4 items from the 1st position?,10.0,Malaysian ringgit,amount,multiplication;sorting
dev,X51007103610,How many goods in the 1st position can be bought for 2?,0.0,Malaysian ringgit,count,division;sorting
dev,X51007103610,How many goods were sold in total?,2.0,Malaysian ringgit,count,summation
dev,X51007103610,How many positions were bought?,1.0,Malaysian ringgit,count,counting
dev,X51007103610,What is the payment made by cash?,5.0,Malaysian ringgit,amount,-
dev,X51007103610,What is the total amount paid?,5.0,Malaysian ringgit,amount,-
dev,X51007103610,How much is tax to total amount ratio?,0.056,Malaysian ringgit,ratio,division
dev,X51007103668,What is the position number of the highest quantity of items?,3.0,Malaysian ringgit,count,sorting
dev,X51007103668,How many positions are with price larger than 5.9 in the receipt?,2.0,Malaysian ringgit,count,counting;sorting
dev,X51007103668,What is the highest price in the first 3 positions?,12.4,Malaysian ringgit,amount,counting;sorting
dev,X51007103668,What is the minimum price of a position?,5.9,Malaysian ringgit,amount,sorting
dev,X51007103668,How many positions are in the receipt?,3.0,Malaysian ringgit,count,counting
dev,X51007103668,How much should be paid for 3 products from the 3rd position?,18.6,Malaysian ringgit,amount,multiplication;sorting
dev,X51007103668,What is the total quantity of goods sold?,4.0,Malaysian ringgit,count,summation
dev,X51007103668,What is the price of the 2nd position in thousands?,0.0059,Malaysian ringgit,amount,division;sorting
dev,X51007103668,How much is tax to total amount ratio?,0.0566176470588235,Malaysian ringgit,ratio,division
dev,X51007103668,What is the total amount?,27.2,Malaysian ringgit,amount,-
dev,X51007103668,How much cash was received?,27.2,Malaysian ringgit,amount,-
dev,X51007103687,What would be the price of the 1st position if the quantity in that position were to change to 4?,7.6,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51007103687,How many goods in the 1st position can be bought for 2?,1.0,Malaysian ringgit,count,division;sorting
dev,X51007103687,What is the price of the 1st position in thousands?,0.0019,Malaysian ringgit,amount,division;sorting
dev,X51007103687,How much cash was received?,2.0,Malaysian ringgit,amount,-
dev,X51007103687,What share of the cash was returned as the change?,0.05,Malaysian ringgit,ratio,division
dev,X51007103687,How much is tax to total amount ratio?,0.0578947368421052,Malaysian ringgit,ratio,division
dev,X51007103687,What is the quantity of the change?,0.1,Malaysian ringgit,amount,-
dev,X51007103687,What is the total amount?,1.9,Malaysian ringgit,amount,-
dev,X51007225406,How many positions are in the receipt?,2.0,Malaysian ringgit,count,counting
dev,X51007225406,How much is the minimum unit price?,2.36,Malaysian ringgit,amount,division;sorting
dev,X51007225406,How many goods were sold in total?,3.0,Malaysian ringgit,count,summation
dev,X51007225406,What is the highest price in the first 2 positions?,18.77,Malaysian ringgit,amount,counting;sorting
dev,X51007225406,What is the highest price of a position?,18.77,Malaysian ringgit,amount,sorting
dev,X51007225406,How many goods in the 1st position can be purchased for 23?,9.0,Malaysian ringgit,count,division;sorting
dev,X51007225406,What is the price of the 1st position in thousands?,0.0047,Malaysian ringgit,amount,division;sorting
dev,X51007225406,How many positions are with unit price lower than or equal to 18.77?,2.0,Malaysian ringgit,count,counting;division;sorting
dev,X51007225406,What is the position number of the lowest quantity of items?,2.0,Malaysian ringgit,count,sorting
dev,X51007225406,What is the total amount?,24.9,Malaysian ringgit,amount,-
dev,X51007231274,How many goods in the 1st position can be purchased for 48?,8.0,Malaysian ringgit,count,division;sorting
dev,X51007231274,How many goods are in the 2nd position?,2.0,Malaysian ringgit,count,sorting
dev,X51007231274,What is the position number of the maximum quantity of items?,2.0,Malaysian ringgit,count,sorting
dev,X51007231274,What is the mean price of a position?,3.65,Malaysian ringgit,amount,counting;division;summation
dev,X51007231274,What is the minimum unit price in the receipt?,0.9,Malaysian ringgit,amount,division;sorting
dev,X51007231274,How many positions are with price larger than or equal to 0.9 in the receipt?,2.0,Malaysian ringgit,count,counting;sorting
dev,X51007231274,What is the price of the 1st position in thousands?,0.0055,Malaysian ringgit,amount,division;sorting
dev,X51007231274,What is the total quantity of goods sold?,3.0,Malaysian ringgit,count,summation
dev,X51007231274,How many positions are in the receipt?,2.0,Malaysian ringgit,count,counting
dev,X51007231274,What is the lowest price in the first 2 positions?,1.8,Malaysian ringgit,amount,counting;sorting
dev,X51007231274,How much was paid by cash?,7.3,Malaysian ringgit,amount,-
dev,X51007231274,What is the total amount?,7.3,Malaysian ringgit,amount,-
dev,X51007231274,What is net total and total amount ratio?,1.0,Malaysian ringgit,ratio,division
dev,X51007231276,What is the total quantity of goods sold?,2.0,Malaysian ringgit,count,summation
dev,X51007231276,What is the position number of the lowest quantity of items?,1.0,Malaysian ringgit,count,sorting
dev,X51007231276,What is the lowest price of a position?,2.7,Malaysian ringgit,amount,sorting
dev,X51007231276,How many goods in the 2nd position can be purchased for 17?,3.0,Malaysian ringgit,count,division;sorting
dev,X51007231276,How much is the least unit price?,2.7,Malaysian ringgit,amount,division;sorting
dev,X51007231276,What is the quantity of items in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51007231276,How many positions are free of charge?,0.0,Malaysian ringgit,count,counting
dev,X51007231276,What is net total and total amount ratio?,1.0,Malaysian ringgit,ratio,division
dev,X51007339122,What is the quantity of items in the 1st position?,3.0,Malaysian ringgit,count,sorting
dev,X51007339122,How many goods were sold in total?,3.0,Malaysian ringgit,count,summation
dev,X51007339122,What is the price of the 1st position in thousands?,0.0087,Malaysian ringgit,amount,division;sorting
dev,X51007339122,How much should be paid for 9 products from the 1st position?,26.1,Malaysian ringgit,amount,multiplication;sorting
dev,X51007339122,What is the payment made by cash?,20.0,Malaysian ringgit,amount,-
dev,X51007339122,What is the total amount paid?,8.7,Malaysian ringgit,amount,-
dev,X51007339122,What share of the cash was returned as the change?,0.5650000000000001,Malaysian ringgit,ratio,division
dev,X51007339122,What is the quantity of the change?,11.3,Malaysian ringgit,amount,-
dev,X51007339127,What is the price of the 1st position in thousands?,0.003,Malaysian ringgit,amount,division;sorting
dev,X51007339127,How many goods in the 1st position were purchased?,1.0,Malaysian ringgit,count,sorting
dev,X51007339127,How many goods in the 1st position can be purchased for 3?,1.0,Malaysian ringgit,count,division;sorting
dev,X51007339127,What is the ratio of change to cash?,0.4,Malaysian ringgit,ratio,division
dev,X51007339127,How much should be paid?,3.0,Malaysian ringgit,amount,-
dev,X51007339127,How much cash was received?,5.0,Malaysian ringgit,amount,-
dev,X51007339127,What is the quantity of the change?,2.0,Malaysian ringgit,amount,-
dev,X51007339161,How many positions does the receipt contain?,1.0,Malaysian ringgit,count,counting
dev,X51007339161,What would be the price of the 1st position if the quantity in that position were to change to 3?,6.9,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51007339161,How many goods in the 1st position can be bought for 1?,0.0,Malaysian ringgit,count,division;sorting
dev,X51007339161,How many goods in the 1st position were purchased?,1.0,Malaysian ringgit,count,sorting
dev,X51007339161,What is the total quantity of goods sold?,1.0,Malaysian ringgit,count,summation
dev,X51007339161,How much cash was received?,5.4,Malaysian ringgit,amount,-
dev,X51007339161,Which part of cash was given back as change?,0.5740740740740741,Malaysian ringgit,ratio,division
dev,X51007339161,How much is the change?,3.1,Malaysian ringgit,amount,-
dev,X51007339161,How much should be paid?,2.3,Malaysian ringgit,amount,-
dev,X51007339163,How many positions are with unit price lower than 0.3?,1.0,Malaysian ringgit,count,counting;division;sorting
dev,X51007339163,Which position has the largest amount?,2.0,Malaysian ringgit,count,sorting
dev,X51007339163,What is the smallest unit price?,0.085,Malaysian ringgit,amount,division;sorting
dev,X51007339163,How many positions were bought?,3.0,Malaysian ringgit,count,counting
dev,X51007339163,How many goods in the 1st position were purchased?,1.0,Malaysian ringgit,count,sorting
dev,X51007339163,What is the ratio of change to cash?,0.4549999999999999,Malaysian ringgit,ratio,division
dev,X51007339163,How much is the change?,9.1,Malaysian ringgit,amount,-
dev,X51007339163,What is the total amount?,10.9,Malaysian ringgit,amount,-
dev,X51007339163,What is the payment made by cash?,20.0,Malaysian ringgit,amount,-
dev,X51007339163,How much is the rounding?,0.01,Malaysian ringgit,amount,-
dev,X51007579725,How many positions are with price larger than or equal to 6.0 in the receipt?,1.0,Malaysian ringgit,count,counting;sorting
dev,X51007579725,How many positions are in the receipt?,2.0,Malaysian ringgit,count,counting
dev,X51007579725,What is the position number of the lowest quantity of items?,1.0,Malaysian ringgit,count,sorting
dev,X51007579725,What is the least unit price?,2.0,Malaysian ringgit,amount,division;sorting
dev,X51007579725,What is the maximum price in the first 2 positions?,49.9,Malaysian ringgit,amount,counting;sorting
dev,X51007579725,How many goods in the 2nd position were purchased?,3.0,Malaysian ringgit,count,sorting
dev,X51007579725,What is the total quantity of goods sold?,4.0,Malaysian ringgit,count,summation
dev,X51007579725,What is the mean price of a position?,27.95,Malaysian ringgit,amount,counting;division;summation
dev,X51007579725,What is the total amount paid?,58.7,Malaysian ringgit,amount,-
dev,X51007846288,What is the total quantity of goods sold?,2.0,Malaysian ringgit,count,summation
dev,X51007846288,How many positions are with price lower than 0.56 in the receipt?,0.0,Malaysian ringgit,count,counting;sorting
dev,X51007846288,What is the position number of the lowest quantity of items?,1.0,Malaysian ringgit,count,sorting
dev,X51007846288,How many positions are free of cost?,0.0,Malaysian ringgit,count,counting
dev,X51007846288,What is the average price in the first 2 positions?,3.625,Malaysian ringgit,amount,counting;division;sorting;summation
dev,X51007846288,What is the quantity of items in the 2nd position?,1.0,Malaysian ringgit,count,sorting
dev,X51007846288,How many goods in the 2nd position can be purchased for 3?,5.0,Malaysian ringgit,count,division;sorting
dev,X51007846288,How much should be paid?,7.25,Malaysian ringgit,amount,-
dev,X51007846288,What is the payment made by cash?,7.25,Malaysian ringgit,amount,-
dev,X51007846288,What is the ratio of total excluding taxes to total?,1.0,Malaysian ringgit,ratio,division
dev,X51007846290,How much is the lowest unit price?,1.5,Malaysian ringgit,amount,division;sorting
dev,X51007846290,How many goods were sold in total?,2.0,Malaysian ringgit,count,summation
dev,X51007846290,What is the minimum price of a position?,1.5,Malaysian ringgit,amount,sorting
dev,X51007846290,How many positions are in the receipt?,2.0,Malaysian ringgit,count,counting
dev,X51007846290,What is the total price of the first 2 positions?,8.190000000000001,Malaysian ringgit,amount,sorting;summation
dev,X51007846290,How many positions are with price larger than or equal to 1.5 in the receipt?,2.0,Malaysian ringgit,count,counting;sorting
dev,X51007846290,How many positions are free of charge?,0.0,Malaysian ringgit,count,counting
dev,X51007846290,What is the total amount?,8.2,Malaysian ringgit,amount,-
dev,X51007846290,What is the rounding value?,0.01,Malaysian ringgit,amount,-
dev,X51007846290,What is the ratio of total excluding taxes to total?,1.0,Malaysian ringgit,ratio,division
dev,X51007846321,How many goods are in the 4th position?,1.0,Malaysian ringgit,count,sorting
dev,X51007846321,What is the maximum price in the first 2 positions?,37.6,Malaysian ringgit,amount,counting;sorting
dev,X51007846321,What is the maximum price of a position?,37.6,Malaysian ringgit,amount,sorting
dev,X51007846321,How many positions are with price larger than 15.8 in the receipt?,2.0,Malaysian ringgit,count,counting;sorting
dev,X51007846321,How much should be paid for 4 items from the 1st position?,75.2,Malaysian ringgit,amount,multiplication;sorting
dev,X51007846321,How many goods were sold in total?,9.0,Malaysian ringgit,count,summation
dev,X51007846321,What is the maximum unit price?,36.8,Malaysian ringgit,amount,division;sorting
dev,X51007846321,How many goods in the 8th position can be bought for 478?,30.0,Malaysian ringgit,count,division;sorting
dev,X51007846321,How many positions were bought?,8.0,Malaysian ringgit,count,counting
dev,X51007846321,What is the payment made by cash?,200.0,Malaysian ringgit,amount,-
dev,X51007846321,What share of the cash was returned as the change?,0.48075,Malaysian ringgit,ratio,division
dev,X51007846321,What is discount and total amount ratio?,0.138971807628524,Malaysian ringgit,ratio,division
dev,X51007846321,What is the quantity of the change?,96.15,Malaysian ringgit,amount,-
dev,X51007846321,What is the total amount paid?,120.6,Malaysian ringgit,amount,-
dev,X51007846321,What is the total discount?,16.76,Malaysian ringgit,amount,-
dev,X51007846379,How many positions are with unit price larger than or equal to 17.92?,1.0,Malaysian ringgit,count,counting;division;sorting
dev,X51007846379,What is the position number of the largest quantity of items?,1.0,Malaysian ringgit,count,sorting
dev,X51007846379,What is the minimum price in the first 7 positions?,0.6,Malaysian ringgit,amount,counting;sorting
dev,X51007846379,How many goods in the 7th position can be purchased for 585?,35.0,Malaysian ringgit,count,division;sorting
dev,X51007846379,How many goods are in the 4th position?,1.0,Malaysian ringgit,count,sorting
dev,X51007846379,What is the lowest unit price?,0.6,Malaysian ringgit,amount,division;sorting
dev,X51007846379,What is the price of the 9th position in thousands?,0.009,Malaysian ringgit,amount,division;sorting
dev,X51007846379,What is the total amount?,79.45,Malaysian ringgit,amount,-
dev,X51007846379,What is the payment made by card?,79.45,Malaysian ringgit,amount,-
dev,X51007846379,How much is the rounding?,0.01,Malaysian ringgit,amount,-
dev,X51007846387,How many goods in the 1st position were purchased?,2.0,Malaysian ringgit,count,sorting
dev,X51007846387,How much should be paid for 8 items from the 1st position?,37.2,Malaysian ringgit,amount,multiplication;sorting
dev,X51007846387,How many positions were bought?,1.0,Malaysian ringgit,count,counting
dev,X51007846387,How many goods were sold in total?,2.0,Malaysian ringgit,count,summation
dev,X51007846387,What is the price of the 1st position in thousands?,0.0093,Malaysian ringgit,amount,division;sorting
dev,X51007846387,How much cash was received?,10.3,Malaysian ringgit,amount,-
dev,X51007846387,How much should be paid?,9.3,Malaysian ringgit,amount,-
dev,X51007846387,How much is the change?,1.0,Malaysian ringgit,amount,-
dev,X51007846387,Which part of cash was given back as change?,0.0970873786407767,Malaysian ringgit,ratio,division
dev,X51007846397,What is the maximum price in the first 2 positions?,6.69,Malaysian ringgit,amount,counting;sorting
dev,X51007846397,What is the quantity of products in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51007846397,What would be the price of the 2nd position if the quantity in that position were to change to 3?,3.09,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51007846397,How much is the maximum unit price?,6.69,Malaysian ringgit,amount,division;sorting
dev,X51007846397,How many positions do contain zero price?,0.0,Malaysian ringgit,count,counting
dev,X51007846397,What is the price of the 2nd position in thousands?,0.001,Malaysian ringgit,amount,division;sorting
dev,X51007846397,How much was paid by cash?,7.7,Malaysian ringgit,amount,-
dev,X51007846397,What is the total amount paid?,7.7,Malaysian ringgit,amount,-
dev,X51007846397,What is net total and total amount ratio?,1.0,Malaysian ringgit,ratio,division
dev,X51007846397,What is the rounding value?,0.02,Malaysian ringgit,amount,-
dev,X51007846400,How many positions are with unit price larger than 16.0?,3.0,Malaysian ringgit,count,counting;division;sorting
dev,X51007846400,How much is the lowest unit price?,4.0,Malaysian ringgit,amount,division;sorting
dev,X51007846400,How many positions are free of cost?,0.0,Malaysian ringgit,count,counting
dev,X51007846400,Which position is the smallest by quantity?,1.0,Malaysian ringgit,count,sorting
dev,X51007846400,How many goods in the 3rd position can be purchased for 382?,15.0,Malaysian ringgit,count,division;sorting
dev,X51007846400,What is the quantity of products in the 5th position?,2.0,Malaysian ringgit,count,sorting
dev,X51007846400,What is the maximum price in the first 2 positions?,70.0,Malaysian ringgit,amount,counting;sorting
dev,X51007846400,What is the total quantity of goods sold?,6.0,Malaysian ringgit,count,summation
dev,X51007846400,How much should be paid?,152.9,Malaysian ringgit,amount,-
dev,X51007846400,How much cash was received?,152.9,Malaysian ringgit,amount,-
dev,X51008099088,What is the largest unit price?,2.1,Malaysian ringgit,amount,division;sorting
dev,X51008099088,What is the price of the 1st position in thousands?,0.0021,Malaysian ringgit,amount,division;sorting
dev,X51008099088,What is the maximum price of a position?,2.1,Malaysian ringgit,amount,sorting
dev,X51008099088,Which position is the maximum by quantity?,1.0,Malaysian ringgit,count,sorting
dev,X51008099088,How many goods in the 1st position can be bought for 4?,1.0,Malaysian ringgit,count,division;sorting
dev,X51008099088,How many positions does the receipt contain?,2.0,Malaysian ringgit,count,counting
dev,X51008099088,How much should be paid for 3 items from the 1st position?,6.3,Malaysian ringgit,amount,multiplication;sorting
dev,X51008099088,What is the maximum price in the first 2 positions?,2.1,Malaysian ringgit,amount,counting;sorting
dev,X51008099088,How many zero prices are among the menu?,0.0,Malaysian ringgit,count,counting
dev,X51008099088,How much should be paid?,2.3,Malaysian ringgit,amount,-
dev,X51008099088,What is the ratio of total excluding taxes to total?,1.0,Malaysian ringgit,ratio,division
dev,X51008099090,How many positions does the receipt contain?,2.0,Malaysian ringgit,count,counting
dev,X51008099090,How many goods in the 2nd position can be purchased for 0?,0.0,Malaysian ringgit,count,division;sorting
dev,X51008099090,How much is the largest unit price?,2.2,Malaysian ringgit,amount,division;sorting
dev,X51008099090,How many positions are with price lower than or equal to 2.2 in the receipt?,2.0,Malaysian ringgit,count,counting;sorting
dev,X51008099090,What is the lowest price of a position?,0.4,Malaysian ringgit,amount,sorting
dev,X51008099090,What is the position number of the smallest quantity of items?,1.0,Malaysian ringgit,count,sorting
dev,X51008099090,What is the quantity of items in the 2nd position?,2.0,Malaysian ringgit,count,sorting
dev,X51008099090,What is the total quantity of goods sold?,4.0,Malaysian ringgit,count,summation
dev,X51008099090,How much should be paid for 8 items from the 1st position?,17.6,Malaysian ringgit,amount,multiplication;sorting
dev,X51008099090,What is the ratio of total excluding taxes to total?,1.0,Malaysian ringgit,ratio,division
dev,X51008099090,How much was paid by cash?,4.8,Malaysian ringgit,amount,-
dev,X51008099090,How much should be paid?,4.8,Malaysian ringgit,amount,-
dev,X51009008095,What is the price of the 1st position in thousands?,0.03,Malaysian ringgit,amount,division;sorting
dev,X51009008095,What is the total quantity of goods sold?,12.0,Malaysian ringgit,count,summation
dev,X51009008095,How many goods in the 1st position were purchased?,12.0,Malaysian ringgit,count,sorting
dev,X51009008095,How many goods in the 1st position can be purchased for 40?,16.0,Malaysian ringgit,count,division;sorting
dev,X51009008095,How much should be paid?,31.8,Malaysian ringgit,amount,-
dev,X51009008095,What is the payment made by cash?,31.8,Malaysian ringgit,amount,-
dev,X51009447842,What is the quantity of products in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51009447842,How much should be paid for 4 items from the 1st position?,3.6,Malaysian ringgit,amount,multiplication;sorting
dev,X51009447842,How many positions are in the receipt?,1.0,Malaysian ringgit,count,counting
dev,X51009447842,What is the price of the 1st position in thousands?,0.0009,Malaysian ringgit,amount,division;sorting
dev,X51009447842,What is the payment made by cash?,5.0,Malaysian ringgit,amount,-
dev,X51009447842,Which part of cash was given back as change?,0.82,Malaysian ringgit,ratio,division
dev,X51009447842,How much is the change?,4.1,Malaysian ringgit,amount,-
dev,X51009447842,What is the total amount paid?,0.9,Malaysian ringgit,amount,-
dev,receipt_00000,How many positions are with unit price larger than or equal to 16000.0?,2.0,Indonesian rupiah,count,counting;division;sorting
dev,receipt_00000,How many positions are free of cost?,0.0,Indonesian rupiah,count,counting
dev,receipt_00000,What is the quantity of items in the 1st position?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00000,How much should be paid for 4 products from the 1st position?,66000.0,Indonesian rupiah,amount,multiplication;sorting
dev,receipt_00000,What is the minimum price in the first 2 positions?,13000.0,Indonesian rupiah,amount,counting;sorting
dev,receipt_00000,What is the average price of a position?,15166.6667,Indonesian rupiah,amount,counting;division;summation
dev,receipt_00000,What is the position number of the maximum quantity of items?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00000,What is the greatest unit price in the receipt?,16500.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00000,How many positions were bought?,3.0,Indonesian rupiah,count,counting
dev,receipt_00000,What is the total amount due?,45500.0,Indonesian rupiah,amount,-
dev,receipt_00000,What is the quantity of the change?,4500.0,Indonesian rupiah,amount,-
dev,receipt_00000,What share of cash was returned as change?,0.09,Indonesian rupiah,ratio,division
dev,receipt_00000,How much was paid by cash?,50000.0,Indonesian rupiah,amount,-
dev,receipt_00001,What is the maximum unit price in the receipt?,23000.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00001,What is the position number of the highest quantity of items?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00001,What is the price of the 1st position in thousands?,23.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00001,What is the total quantity of goods sold?,1.0,Indonesian rupiah,count,summation
dev,receipt_00001,How many goods in the 1st position can be purchased for 47545?,2.0,Indonesian rupiah,count,division;sorting
dev,receipt_00001,How many positions were bought?,1.0,Indonesian rupiah,count,counting
dev,receipt_00001,What share of the cash received was used for the payment?,0.46,Indonesian rupiah,ratio,division
dev,receipt_00001,What is the quantity of the change?,27000.0,Indonesian rupiah,amount,-
dev,receipt_00001,What is the cash amount?,50000.0,Indonesian rupiah,amount,-
dev,receipt_00001,What share of cash was returned as change?,0.54,Indonesian rupiah,ratio,division
dev,receipt_00001,What is the total amount paid?,23000.0,Indonesian rupiah,amount,-
dev,receipt_00002,How many goods in the 1st position can be bought for 35498?,1.0,Indonesian rupiah,count,division;sorting
dev,receipt_00002,What is the total quantity of goods sold?,1.0,Indonesian rupiah,count,summation
dev,receipt_00002,Which position is the largest by quantity?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00002,How many positions are in the receipt?,1.0,Indonesian rupiah,count,counting
dev,receipt_00002,How much should be paid for 3 products from the 1st position?,60000.0,Indonesian rupiah,amount,multiplication;sorting
dev,receipt_00002,What is the price of the 1st position in thousands?,20.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00002,How many positions are with price lower than 20000.0 in the receipt?,0.0,Indonesian rupiah,count,counting;sorting
dev,receipt_00002,What is the total amount paid?,20000.0,Indonesian rupiah,amount,-
dev,receipt_00002,How much in total was paid in taxes?,1818.0,Indonesian rupiah,amount,-
dev,receipt_00002,What share of cash was returned as change?,0.8,Indonesian rupiah,ratio,division
dev,receipt_00002,How much was paid by cash?,100000.0,Indonesian rupiah,amount,-
dev,receipt_00002,What is the change amount?,80000.0,Indonesian rupiah,amount,-
dev,receipt_00002,What is ratio of the amount due and the cash received?,0.2,Indonesian rupiah,ratio,division
dev,receipt_00003,How much should be paid for 3 products from the 1st position?,84000.0,Indonesian rupiah,amount,multiplication;sorting
dev,receipt_00003,Which position has the maximum amount?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00003,What is the largest unit price in the receipt?,28000.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00003,How many positions are with unit price larger than or equal to 28000.0?,1.0,Indonesian rupiah,count,counting;division;sorting
dev,receipt_00003,What is the total number of positions?,1.0,Indonesian rupiah,count,counting
dev,receipt_00003,How many goods were sold in total?,1.0,Indonesian rupiah,count,summation
dev,receipt_00003,How many goods in the 1st position can be bought for 109730?,3.0,Indonesian rupiah,count,division;sorting
dev,receipt_00003,How many goods are in the 1st position?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00003,What is the rounding value?,0.0,Indonesian rupiah,amount,-
dev,receipt_00003,What is ratio of the amount due and the cash received?,1.0,Indonesian rupiah,ratio,division
dev,receipt_00003,What share of cash was returned as change?,0.0,Indonesian rupiah,ratio,division
dev,receipt_00003,How much in total was paid in taxes?,0.0,Indonesian rupiah,amount,-
dev,receipt_00003,How much was paid by card?,0.0,Indonesian rupiah,amount,-
dev,receipt_00003,What is the cash amount?,28000.0,Indonesian rupiah,amount,-
dev,receipt_00003,What is the total amount due?,28000.0,Indonesian rupiah,amount,-
dev,receipt_00004,How many goods in the 1st position were purchased?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00004,What share of cash was returned as change?,0.18,Indonesian rupiah,ratio,division
dev,receipt_00004,What is the quantity of the change?,9000.0,Indonesian rupiah,amount,-
dev,receipt_00004,What share of the cash received was used for the payment?,0.82,Indonesian rupiah,ratio,division
dev,receipt_00004,What is the cash amount?,50000.0,Indonesian rupiah,amount,-
dev,receipt_00004,What is the total amount paid?,41000.0,Indonesian rupiah,amount,-
dev,receipt_00005,How much is the least unit price?,8000.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00005,How many goods in the 1st position can be bought for 24535?,3.0,Indonesian rupiah,count,division;sorting
dev,receipt_00005,What is the total quantity of goods sold?,1.0,Indonesian rupiah,count,summation
dev,receipt_00005,Which position has the minimum amount?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00005,How much should be paid for 4 products from the 1st position?,32000.0,Indonesian rupiah,amount,multiplication;sorting
dev,receipt_00005,What is the price of the 1st position in thousands?,8.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00005,How many positions are with price larger than or equal to 8000.0 in the receipt?,1.0,Indonesian rupiah,count,counting;sorting
dev,receipt_00005,How many goods in the 1st position were purchased?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00005,What share of cash was returned as change?,0.0,Indonesian rupiah,ratio,division
dev,receipt_00005,What share of the cash received was used for the payment?,1.0,Indonesian rupiah,ratio,division
dev,receipt_00005,How much in total was paid in taxes?,727.0,Indonesian rupiah,amount,-
dev,receipt_00005,What is the cash amount?,8000.0,Indonesian rupiah,amount,-
dev,receipt_00005,How much was paid in real money after all the reductions applied?,8000.0,Indonesian rupiah,amount,subtraction
dev,receipt_00006,Which position has the lowest amount?,1.0,Indonesian rupiah,count,sorting
dev,receipt_00006,What is the price of the 3rd position in thousands?,52.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00006,How many goods in the 3rd position can be bought for 605208?,11.0,Indonesian rupiah,count,division;sorting
dev,receipt_00006,What would be the price of the 2nd position if the quantity in that position were to change to 2?,104000.0,Indonesian rupiah,amount,division;multiplication;sorting
dev,receipt_00006,How many positions are with price lower than 19000.0 in the receipt?,0.0,Indonesian rupiah,count,counting;sorting
dev,receipt_00006,What is the minimum price of a position?,19000.0,Indonesian rupiah,amount,sorting
dev,receipt_00006,What is the average price in the first 2 positions?,35500.0,Indonesian rupiah,amount,counting;division;sorting;summation
dev,receipt_00006,What is the highest unit price in the receipt?,52000.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00006,How much was paid via non-cash means?,123000.0,Indonesian rupiah,amount,-
dev,receipt_00006,What is the total amount paid?,123000.0,Indonesian rupiah,amount,-
dev,receipt_00007,What is the price of the 1st position in thousands?,63.636,Indonesian rupiah,amount,division;sorting
dev,receipt_00007,How much is the minimum unit price?,15909.0,Indonesian rupiah,amount,division;sorting
dev,receipt_00007,How many positions does the receipt contain?,1.0,Indonesian rupiah,count,counting
dev,receipt_00007,How many positions are with price larger than 15909.0 in the receipt?,0.0,Indonesian rupiah,count,counting;sorting
dev,receipt_00007,How many goods in the 1st position can be bought for 46775?,2.0,Indonesian rupiah,count,division;sorting
dev,receipt_00007,How many goods in the 1st position were purchased?,4.0,Indonesian rupiah,count,sorting
dev,receipt_00007,How many goods were sold in total?,4.0,Indonesian rupiah,count,summation
dev,receipt_00007,What is the quantity of the change?,40500.0,Indonesian rupiah,amount,-
dev,receipt_00007,What is the ratio of change to cash?,0.405,Indonesian rupiah,ratio,division
dev,receipt_00007,What is the total amount paid?,59500.0,Indonesian rupiah,amount,-
dev,receipt_00007,What is the total discount amount?,9545.0,Indonesian rupiah,amount,-
dev,receipt_00007,What is the cash amount?,100000.0,Indonesian rupiah,amount,-
dev,receipt_00007,How much in total was paid in taxes?,5409.0,Indonesian rupiah,amount,-
dev,receipt_00007,What is ratio of the amount due and the cash received?,0.595,Indonesian rupiah,ratio,division
dev,receipt_00007,How much is the service charge on top of the cost of goods?,0.0,Indonesian rupiah,amount,-
dev,receipt_00008,What is the total quantity of goods sold?,4.0,Indonesian rupiah,count,summation
